,date,ticker,totalAssets_eod,totalLiab_eod,sellingGeneralAdministrative_eod,researchDevelopment_eod,ebitda_eod,currentDeferredRevenue_eod,costOfRevenue_eod,grossProfit_eod,netDebt_eod,investments_eod,propertyPlantEquipment_eod,totalRevenue_eod,intangibleAssets_eod,cashAndEquivalents_eod,inventory_eod,accumulatedOtherComprehensiveIncome_eod,accountsPayable_eod,cashAndShortTermInvestments_eod,commonStock_eod,netReceivables_eod,capitalExpenditures_eod,totalStockholderEquity_eod,changeToOperatingActivities_eod
0,2021-12,IBM,132001000000.00,113005000000.00,17699000000.00,6488000000.00,13438000000.00,12518000000.00,25865000000.00,31486000000.00,48489000000.00,-414000000.00,8916000000.00,57351000000.00,12511000000.00,6650000000.00,1649000000.00,-23234000000.00,3955000000.00,7250000000.00,57319000000.00,14977000000.00,2768000000,18901000000.00,-346000000.00
1,2020-12,IBM,155970000000.00,135245000000.00,20308000000.00,6333000000.00,12709000000.00,12833000000.00,38046000000.00,35575000000.00,49683000000.00,-153000000.00,10040000000.00,73621000000.00,13795000000.00,13188000000.00,1839000000.00,-29337000000.00,4908000000.00,13812000000.00,56556000000.00,18738000000.00,3230000000,20597000000.00,4974000000.00
2,2019-12,IBM,152186000000.00,131201000000.00,18107000000.00,5989000000.00,17565000000.00,12026000000.00,40659000000.00,36488000000.00,56107000000.00,6988000000.00,10010000000.00,77147000000.00,15236000000.00,8172000000.00,1619000000.00,-28597000000.00,4896000000.00,8868000000.00,55895000000.00,23795000000.00,2907000000,20841000000.00,1159000000.00
3,2018-12,IBM,123382000000.00,106452000000.00,17397000000.00,5379000000.00,16550000000.00,11165000000.00,42655000000.00,36935000000.00,34433000000.00,-1057000000.00,10792000000.00,79590000000.00,3088000000.00,11379000000.00,1682000000.00,-29490000000.00,6558000000.00,11997000000.00,55151000000.00,30563000000.00,3964000000,16796000000.00,-451000000.00
4,2017-12,IBM,125355000000.00,107631000000.00,18110000000.00,5787000000.00,16551000000.00,11552000000.00,42913000000.00,36226000000.00,34851000000.00,-3082000000.00,11116000000.00,79139000000.00,3741000000.00,11972000000.00,1583000000.00,-26592000000.00,6451000000.00,12580000000.00,54566000000.00,31630000000.00,3773000000,17594000000.00,5451000000.00
5,2016-12,IBM,117470000000.00,99078000000.00,19152000000.00,5751000000.00,17332000000.00,11035000000.00,41625000000.00,38295000000.00,34342000000.00,-1116000000.00,10830000000.00,79920000000.00,4689000000.00,7826000000.00,1553000000.00,-29398000000.00,6209000000.00,8527000000.00,53935000000.00,29245000000.00,4150000000,18246000000.00,462000000.00
6,2015-12,IBM,110491000000.00,96071000000.00,18604000000.00,5247000000.00,20094000000.00,11021000000.00,41057000000.00,40685000000.00,32203000000.00,-629000000.00,10727000000.00,81742000000.00,3486000000.00,,1551000000.00,-29607000000.00,6028000000.00,8194000000.00,53262000000.00,28554000000.00,4151000000,14262000000.00,-3222000000.00
7,2014-12,IBM,117532000000.00,105518000000.00,21165000000.00,5437000000.00,21232000000.00,11877000000.00,46386000000.00,46407000000.00,32328000000.00,-923000000.00,10771000000.00,92793000000.00,3103000000.00,,2103000000.00,-27875000000.00,6864000000.00,8476000000.00,52666000000.00,31831000000.00,4183000000,11868000000.00,-2541000000.00
8,2013-12,IBM,126223000000.00,103294000000.00,21681000000.00,6226000000.00,24604000000.00,12557000000.00,51246000000.00,48505000000.00,29003000000.00,-798000000.00,13821000000.00,99751000000.00,3871000000.00,,2310000000.00,-21602000000.00,7461000000.00,11066000000.00,51594000000.00,31836000000.00,4140000000,22792000000.00,
9,2012-12,IBM,119213000000.00,100229000000.00,21835000000.00,6302000000.00,27037000000.00,11952000000.00,54209000000.00,50298000000.00,22858000000.00,-1575000000.00,13996000000.00,104507000000.00,3787000000.00,,2287000000.00,-25759000000.00,7952000000.00,11129000000.00,50110000000.00,30578000000.00,4717000000,18860000000.00,
