,date,ticker,totalAssets_financial,totalLiabilities_financial,sellingGeneralAndAdministrativeExpenses_financial,researchAndDevelopmentExpenses_financial,ebitda_financial,deferredRevenue_financial,costOfRevenue_financial,grossProfit_financial,netDebt_financial,totalInvestments_financial,propertyPlantEquipmentNet_financial,revenue_financial,intangibleAssets_financial,cashAndCashEquivalents_financial,accumulatedOtherComprehensiveIncomeLoss_financial,accountsPayables_financial,cashAndShortTermInvestments_financial,commonStock_financial,netReceivables_financial,capitalExpenditure_financial,totalStockholdersEquity_financial,changeInWorkingCapital_financial,inventory_financial
0,2021-12,IBM,132001000000,113005000000,17699000000,6488000000.0,13438000000,12518000000,25865000000,31486000000,48489000000,806000000.0,8915000000,57351000000,12511000000.0,6650000000,-23234000000,85000000.0,7250000000,57319000000,14977000000,-2768000000,18901000000,1962000000,1649000000
1,2020-12,IBM,155970000000,135245000000,21850000000,6333000000.0,12709000000,12833000000,38046000000,35575000000,49683000000,826000000.0,14726000000,73621000000,13795000000.0,13212000000,-29337000000,138000000.0,13812000000,56556000000,18738000000,-3230000000,20597000000,8249000000,1839000000
2,2019-12,IBM,152186000000,131201000000,19754000000,5989000000.0,17565000000,12026000000,40659000000,36488000000,56107000000,918000000.0,32028000000,77147000000,15236000000.0,8172000000,-28597000000,-503000000.0,8868000000,55895000000,23795000000,-2907000000,20841000000,1225000000,1619000000
3,2018-12,IBM,123382000000,106452000000,18863000000,5379000000.0,16550000000,11165000000,42655000000,36935000000,34433000000,844000000.0,32460000000,79590000000,3088000000.0,11379000000,-29490000000,126000000.0,11997000000,55151000000,30563000000,-3964000000,16796000000,554000000,1682000000
4,2017-12,IBM,125355000000,107631000000,19555000000,5787000000.0,16551000000,11552000000,42913000000,36226000000,34851000000,730000000.0,32331000000,79139000000,3741000000.0,11972000000,-26592000000,47000000.0,12580000000,54566000000,31630000000,-3773000000,17594000000,6813000000,1583000000
5,2016-12,IBM,117470000000,99078000000,20479000000,5751000000.0,17332000000,11035000000,41625000000,38295000000,34342000000,805000000.0,30133000000,79920000000,4689000000.0,7826000000,-29398000000,197000000.0,8527000000,53935000000,29245000000,-4150000000,18246000000,1231000000,1553000000
6,2015-12,IBM,110491000000,96071000000,19894000000,5247000000.0,20094000000,11021000000,41057000000,40685000000,32203000000,983000000.0,29342000000,81742000000,3486000000.0,7686000000,-29607000000,81000000.0,8194000000,53262000000,28554000000,-4151000000,14262000000,-2444000000,1551000000
7,2014-12,IBM,117532000000,105518000000,22472000000,5437000000.0,21232000000,11877000000,46386000000,46407000000,32328000000,0.0,10772000000,92793000000,3103000000.0,8476000000,-27875000000,-456000000.0,8476000000,52666000000,31831000000,-4183000000,11868000000,-1766000000,2103000000
8,2013-12,IBM,126223000000,103294000000,22975000000,6226000000.0,24604000000,12557000000,51246000000,48505000000,29003000000,660000000.0,40475000000,99751000000,3871000000.0,10716000000,-21602000000,-529000000.0,11066000000,51594000000,31836000000,-4140000000,22792000000,-2446000000,2310000000
9,2012-12,IBM,119213000000,100229000000,23174000000,6302000000.0,27037000000,11952000000,54209000000,50298000000,22858000000,1063000000.0,40501000000,104507000000,3787000000.0,10412000000,-25759000000,-224000000.0,11129000000,50110000000,30578000000,-4717000000,18860000000,-2449000000,2287000000
10,2011-12,IBM,116433000000,96197000000,23217000000,6258000000.0,26229000000,12196000000,56778000000,50138000000,19398000000,0.0,40124000000,106916000000,3392000000.0,11922000000,-21885000000,451000000.0,11922000000,48129000000,29561000000,-4667000000,20138000000,-2390000000,2595000000
11,2010-12,IBM,113452000000,90280000000,21545000000,6026000000.0,24922000000,11580000000,53857000000,46013000000,17963000000,6768000000.0,14096000000,99870000000,3488000000.0,10661000000,-18743000000,174000000.0,11651000000,45418000000,28225000000,-4754000000,23046000000,-1237000000,2450000000
12,2009-12,IBM,109022000000,86267000000,20521000000,5820000000.0,23534000000,10845000000,51973000000,43785000000,13917000000,7170000000.0,14165000000,95758000000,2513000000.0,12183000000,-18830000000,170000000.0,13974000000,41810000000,26793000000,-4077000000,22637000000,418000000,2494000000
13,2008-12,IBM,109524000000,96059000000,23386000000,6337000000.0,22838000000,10239000000,57969000000,45661000000,21185000000,5224000000.0,14304000000,103630000000,2876000000.0,12741000000,-21845000000,-860000000.0,12907000000,39129000000,27555000000,-4887000000,13465000000,-1193000000,2701000000
