,date,ticker,totalAssets_finnhub,totalLiabilities_finnhub,sgaExpense_finnhub,researchDevelopment_finnhub,ebit_finnhub,deferredTaxesInvestmentTaxCredit_finnhub,costOfGoodsSold_finnhub,grossIncome_finnhub,netDebt_finnhub,longTermInvestments_finnhub,propertyPlantEquipment_finnhub,revenue_finnhub,otherCurrentAssets_finnhub,cashEquivalents_finnhub,inventory_finnhub,otherInvestingCashFlowItemsTotal_finnhub,accountsPayable_finnhub,cashShortTermInvestments_finnhub,commonStock_finnhub,accountsReceivables_finnhub,capex_finnhub,liabilitiesShareholdersEquity_finnhub,changesinWorkingCapital_finnhub
0,2021-12,IBM,132001,113100,18608,6488,6109,-2001,25865,31485,44454,206,8917,57350,5233,6650,1649,-3207,3955,7250,450,7184,-2768,132001,1962
1,2020-12,IBM,155971,135373,18539,6262,5735,-3203,24314,30865,47545,216,9771,55179,6195,13188,1812,202,4033,13788,449,6166,-3230,155971,8248
2,2019-12,IBM,152186,131345,19748,5963,8201,-1527,26181,31533,54031,222,15006,57714,3714,8172,1619,-24029,4896,8868,448,8294,-2907,152186,1225
3,2018-12,IBM,123382,106587,18217,5379,13993,853,42655,36936,33813,573,10792,79591,4902,11379,1682,-949,6558,11999,447,7432,-3964,123382,553
4,2017-12,IBM,125356,107762,19120,5590,13320,-931,42196,36943,34232,879,11117,79139,3930,11972,1583,-3308,6451,12592,446,8928,-3773,125356,6812
5,2016-12,IBM,117470,99224,19440,5726,13886,-1132,41403,38516,33630,698,10831,79919,4552,7826,1553,-6778,6209,8538,53935,9182,-4150,117470,1357
6,2015-12,IBM,110495,96233,19512,5247,16562,1387,41057,40684,31689,475,10727,81741,4199,7686,1551,-4008,6028,8200,53262,8333,-4151,110495,-2197
7,2014-12,IBM,117271,105403,21385,5437,21830,-237,46386,46407,32222,594,10771,92793,4943,8476,2103,1182,6864,8500,52666,9090,-4183,117271,-1767
8,2013-12,IBM,126223,103431,22214,5743,21316,-1610,49683,48684,28616,310,13821,98367,6102,10716,2310,-3186,7461,11102,51594,10465,-4140,126223,-2444
9,2012-12,IBM,119213,100353,23463,5816,22999,797,52513,50361,22131,1687,13996,102874,5430,10412,2287,-4287,7952,11138,50110,10667,-4717,119213,-2451
10,2011-12,IBM,116433,96297,22865,6258,21891,1212,56778,50138,19400,4895,13883,106916,6849,11922,2596,271,8517,11922,48129,28391,-4667,116435,-2390
11,2010-12,IBM,113450,90404,20943,6026,20735,1294,53857,46013,16973,5778,14096,99870,5790,10661,2450,-3753,7804,11651,45418,27433,-4754,113450,-1237
12,2009-12,IBM,109022,86387,20193,5820,17485,1773,51972,43787,12126,5379,14164,95759,5676,12183,2493,-2653,7436,13974,41810,26088,-4077,109024,418
13,2008-12,IBM,109524,96059,23386,6337,15938,1900,57969,45661,21019,5058,14304,103630,5841,12741,2700,-4398,7014,12907,39129,26734,-4887,109525,-1193
14,2007-12,IBM,120432,91961,22060,6153,13516,740,57057,41729,19128,5248,15082,98786,5578,14991,2664,830,8054,16146,35188,28013,-5505,120430,-890
15,2006-12,IBM,103233,74727,20259,6107,11928,1724,53129,38294,12026,4501,14439,91423,4345,8022,2810,-6382,7964,10656,31271,26191,-5166,103233,-1780
16,2005-12,IBM,105748,72650,21314,5842,9376,2185,54602,36532,8955,3142,13756,91134,4706,12568,2841,211,7349,13686,28926,23712,-4634,105748,56
17,2004-12,IBM,111003,79315,20079,5874,9616,1794,60724,35569,12357,2444,15175,96293,5121,10053,3316,-290,9444,10570,26673,27004,-5056,111003,-35
18,2003-12,IBM,104457,76593,18601,5314,8632,790,56584,32547,15985,3006,14689,89131,5150,7290,2942,-146,8460,7647,16269,28342,-4974,104457,895
19,2002-12,IBM,96484,73702,18738,4750,6796,-67,50902,30284,20042,3124,14440,81186,5241,5382,3148,-1547,7630,5975,14858,27358,-5350,96484,2963
20,2001-12,IBM,90303,66855,17048,4986,9855,664,51178,31889,20758,2833,16504,83067,4746,6330,4304,193,7047,6393,14248,27018,-6055,90303,585
21,2000-12,IBM,88349,67725,17393,5084,9101,44,53511,31578,24854,3043,16714,85089,4667,3563,4765,1883,8192,3722,12647,30726,-5884,88349,-3036
