,ticker,date,quarter,totalAssets_tiingo,totalLiabilities_tiingo,sga_tiingo,rnd_tiingo,ebitda_tiingo,deferredRev_tiingo,costRev_tiingo,grossProfit_tiingo,debtCurrent_tiingo,investments_tiingo,ppeq_tiingo,revenue_tiingo,intangibles_tiingo,cashAndEq_tiingo,inventory_tiingo,accoci_tiingo,acctPay_tiingo,investmentsAcqDisposals_tiingo,netIncComStock_tiingo,acctRec_tiingo,capex_tiingo,equity_tiingo
1,IBM,2022-09,3,125850000000.0,105703000000.0,4391000000.0,1611000000.0,-3025000000.0,14157000000.0,6677000000.0,7430000000.0,6781000000.0,14428000000.0,7890000000.0,14107000000.0,65185000000.0,7975000000.0,1794000000.0,-17138000000.0,3806000000.0,-1194000000.0,-3196000000.0,6428000000.0,-447000000.0,20076000000.0
1,IBM,2022-06,2,127503000000.0,108026000000.0,4855000000.0,1673000000.0,3192000000.0,15591000000.0,7246000000.0,8289000000.0,6865000000.0,14148000000.0,8123000000.0,15535000000.0,66610000000.0,7254000000.0,1684000000.0,-22169000000.0,3707000000.0,-282000000.0,1392000000.0,6776000000.0,-493000000.0,19409000000.0
1,IBM,2022-03,1,133275000000.0,114162000000.0,4597000000.0,1679000000.0,2261000000.0,16949000000.0,6862000000.0,7335000000.0,8644000000.0,13690000000.0,8667000000.0,14197000000.0,68418000000.0,10220000000.0,1776000000.0,-22532000000.0,3453000000.0,-343000000.0,733000000.0,6966000000.0,-378000000.0,19050000000.0
1,IBM,2021-12,0,132001000000.0,113005000000.0,18745000000.0,6488000000.0,13439000000.0,16095000000.0,25865000000.0,31485000000.0,7761000000.0,15069000000.0,8916000000.0,57350000000.0,68154000000.0,6957000000.0,1649000000.0,-23234000000.0,3955000000.0,-414000000.0,5743000000.0,7756000000.0,-2381000000.0,18901000000.0
1,IBM,2021-09,3,144214000000.0,121858000000.0,4306000000.0,1606000000.0,2880000000.0,16229000000.0,6145000000.0,7106000000.0,8860000000.0,14803000000.0,13391000000.0,13251000000.0,74403000000.0,7807000000.0,1891000000.0,-27302000000.0,4248000000.0,109000000.0,1130000000.0,7508000000.0,-637000000.0,22228000000.0
1,IBM,2021-06,2,146814000000.0,124747000000.0,4849000000.0,1641000000.0,3387000000.0,17385000000.0,6366000000.0,7852000000.0,7776000000.0,16478000000.0,13810000000.0,14218000000.0,75184000000.0,7565000000.0,1807000000.0,-27652000000.0,4214000000.0,-227000000.0,1325000000.0,7629000000.0,-688000000.0,21942000000.0
1,IBM,2021-03,1,148629000000.0,127116000000.0,4688000000.0,1616000000.0,2747000000.0,18350000000.0,6160000000.0,7027000000.0,6535000000.0,17469000000.0,13935000000.0,13187000000.0,73519000000.0,10673000000.0,1828000000.0,-28257000000.0,4140000000.0,-335000000.0,955000000.0,7245000000.0,-530000000.0,21389000000.0
1,IBM,2020-12,0,155971000000.0,135244000000.0,20561000000.0,6262000000.0,12213000000.0,15738000000.0,24314000000.0,30865000000.0,8151000000.0,20382000000.0,9771000000.0,55179000000.0,67504000000.0,13651000000.0,1812000000.0,-29337000000.0,4033000000.0,-153000000.0,5590000000.0,6485000000.0,-3042000000.0,20597000000.0
1,IBM,2020-09,3,154128000000.0,132794000000.0,4647000000.0,1515000000.0,3832000000.0,15501000000.0,9130000000.0,8430000000.0,11621000000.0,20415000000.0,14673000000.0,17560000000.0,72317000000.0,14553000000.0,1949000000.0,-28584000000.0,3985000000.0,760000000.0,1698000000.0,7022000000.0,-828000000.0,21208000000.0
1,IBM,2020-06,2,154200000000.0,133512000000.0,5248000000.0,1582000000.0,3572000000.0,16256000000.0,9423000000.0,8700000000.0,10632000000.0,23302000000.0,14483000000.0,18123000000.0,72103000000.0,12188000000.0,1869000000.0,-28757000000.0,4719000000.0,-1263000000.0,1361000000.0,7480000000.0,-697000000.0,20551000000.0
1,IBM,2020-03,1,153403000000.0,133275000000.0,5955000000.0,1625000000.0,1909000000.0,17146000000.0,9649000000.0,7922000000.0,12969000000.0,22392000000.0,14497000000.0,17571000000.0,72183000000.0,11370000000.0,1786000000.0,-29283000000.0,4172000000.0,-178000000.0,1175000000.0,8543000000.0,-737000000.0,19999000000.0
1,IBM,2019-12,0,152186000000.0,131202000000.0,18724000000.0,5910000000.0,16894000000.0,15877000000.0,26181000000.0,31533000000.0,10177000000.0,25674000000.0,15006000000.0,57714000000.0,73457000000.0,8313000000.0,1619000000.0,-28597000000.0,4896000000.0,6988000000.0,9431000000.0,9603000000.0,-2370000000.0,20841000000.0
