,ticker,date,fiscalDateEnding,totalAssets_alpha,totalLiabilities_alpha,sellingGeneralAndAdministrative_alpha,researchAndDevelopment_alpha,ebitda_alpha,deferredRevenue_alpha,costOfRevenue_alpha,grossProfit_alpha,currentDebt_alpha,investments_alpha,propertyPlantEquipment_alpha,totalRevenue_alpha,intangibleAssets_alpha,changeInCashAndCashEquivalents_alpha,inventory_alpha,comprehensiveIncomeNetOfTax_alpha,currentAccountsPayable_alpha,cashAndShortTermInvestments_alpha,commonStock_alpha,currentNetReceivables_alpha,capitalExpenditures_alpha,totalShareholderEquity_alpha,changeInOperatingAssets_alpha
0,AAPL,2022-09,2022-09-30,352755000000,302083000000,6440000000,6761000000,28349000000,20312000000,58491000000,38095000000,21239000000,292870000000,42117000000,89319000000,None,-3884000000,4946000000,18909000000,64115000000,48304000000,64849000000,60932000000,3289000000,50672000000,21468000000
1,AAPL,2022-06,2022-06-30,336309000000,278202000000,6012000000,6797000000,26590000000,19928000000,53086000000,35885000000,24991000000,307072000000,40335000000,82240000000,None,19442000000,5433000000,16639000000,48343000000,48231000000,62115000000,42242000000,2102000000,58107000000,-3402000000
2,AAPL,2022-03,2022-03-31,350662000000,283263000000,6193000000,6387000000,33567000000,20420000000,60912000000,42559000000,16658000000,335183000000,39304000000,96587000000,None,25010000000,5460000000,19443000000,52682000000,51511000000,61181000000,45400000000,2514000000,67399000000,-21694000000
3,AAPL,2021-12,2021-12-31,381191000000,309259000000,6449000000,6306000000,44632000000,20276000000,76151000000,54243000000,16169000000,338496000000,39245000000,123251000000,None,2701000000,5876000000,33540000000,74362000000,63913000000,58424000000,65253000000,2803000000,71932000000,17986000000
4,AAPL,2021-09,2021-09-30,351002000000,287912000000,5616000000,5772000000,26909000000,19512000000,53802000000,35174000000,15692000000,318994000000,39440000000,82688000000,None,653000000,6580000000,20656000000,54763000000,62639000000,57365000000,51506000000,3223000000,63090000000,21176000000
5,AAPL,2021-06,2021-06-30,329840000000,265560000000,5412000000,5717000000,27866000000,19681000000,51591000000,35255000000,16039000000,328650000000,38615000000,80769000000,None,21744000000,5178000000,22088000000,40409000000,61696000000,54989000000,33908000000,2093000000,64280000000,2422000000
6,AAPL,2021-03,2021-03-31,337158000000,267980000000,5314000000,5262000000,31478000000,19495000000,56819000000,38079000000,13003000000,338696000000,37815000000,88914000000,None,23630000000,5219000000,23165000000,40127000000,69834000000,54203000000,33036000000,2269000000,69178000000,-24501000000
7,AAPL,2020-12,2020-12-31,354054000000,287830000000,5631000000,5163000000,36883000000,18995000000,72742000000,44328000000,12762000000,355132000000,37933000000,110801000000,None,-2070000000,4973000000,29340000000,63846000000,76826000000,51744000000,58620000000,3500000000,66224000000,25615000000
8,AAPL,2020-09,2020-09-30,323888000000,258549000000,4936000000,4978000000,18237000000,16843000000,44945000000,24689000000,13793000000,345644000000,36766000000,64698000000,None,24689000000,4061000000,12817000000,42296000000,90943000000,50779000000,37445000000,1784000000,65339000000,8329000000
9,AAPL,2020-06,2020-06-30,317344000000,245062000000,4831000000,4758000000,16586000000,16113000000,41836000000,22680000000,18675000000,353851000000,35687000000,58988000000,None,10865000000,3978000000,13492000000,35325000000,93025000000,48696000000,32075000000,1565000000,72282000000,-44000000
10,AAPL,2020-03,2020-03-31,320400000000,241975000000,4952000000,4565000000,16678000000,15328000000,40895000000,22370000000,20421000000,345514000000,35889000000,57556000000,None,10896000000,3334000000,8878000000,32421000000,94051000000,48032000000,30677000000,1853000000,78425000000,-8205000000
11,AAPL,2019-12,2019-12-31,340618000000,251087000000,5197000000,4451000000,29519000000,14673000000,61799000000,35217000000,15214000000,374351000000,37031000000,91034000000,None,-8559000000,4097000000,22266000000,45111000000,107162000000,45972000000,39946000000,2107000000,89531000000,1165000000
12,AAPL,2019-09,2019-09-30,338516000000,248028000000,4578000000,4110000000,20116000000,13622000000,44305000000,24313000000,16240000000,362952000000,37378000000,64040000000,None,24313000000,4106000000,13741000000,46236000000,100557000000,45174000000,45804000000,2777000000,90488000000,19925000000
13,AAPL,2019-06,2019-06-30,322239000000,225783000000,4426000000,4257000000,15710000000,None,38008000000,20227000000,23482000000,370690000000,37636000000,52943000000,None,10044000000,3355000000,10904000000,29115000000,94614000000,43371000000,26474000000,2000000000,96456000000,-2698000000
14,AAPL,2019-03,2019-03-31,341998000000,236138000000,4458000000,3948000000,17843000000,None,40652000000,21821000000,22429000000,414334000000,38746000000,57005000000,None,11561000000,4884000000,13650000000,30443000000,80092000000,42801000000,26278000000,2363000000,105860000000,-10914000000
15,AAPL,2018-12,2018-12-31,373719000000,255827000000,4783000000,3902000000,28191000000,None,57062000000,32031000000,21741000000,446799000000,39597000000,83420000000,None,18858000000,4988000000,19742000000,44293000000,86427000000,40970000000,36981000000,3355000000,117892000000,-10073000000
16,AAPL,2018-09,2018-09-30,365725000000,258578000000,4216000000,3750000000,20043000000,14766000000,38816000000,24084000000,20748000000,448287000000,41304000000,62900000000,None,-6058000000,3956000000,13782000000,55888000000,25913000000,40201000000,48995000000,3041000000,107147000000,21040000000
17,AAPL,2018-06,2018-06-30,349197000000,234248000000,4108000000,3701000000,16795000000,10281000000,32844000000,20421000000,17472000000,243743000000,38117000000,53265000000,None,-13088000000,5936000000,11472000000,38489000000,70970000000,38624000000,26367000000,3267000000,114949000000,1265000000
18,AAPL,2018-03,2018-03-31,367502000000,240624000000,4150000000,3378000000,19699000000,10862000000,37715000000,23422000000,20478000000,267226000000,35077000000,61137000000,None,17568000000,7662000000,11877000000,34311000000,87940000000,38044000000,22408000000,4041000000,126878000000,-24371000000
19,AAPL,2017-12,2017-12-31,406794000000,266595000000,4231000000,3407000000,30509000000,11175000000,54381000000,33912000000,18478000000,285097000000,33679000000,88293000000,8038000000,7202000000,4421000000,19374000000,62985000000,77153000000,36447000000,50899000000,2964000000,140199000000,14993000000
