,date,ticker,totalAssets_eod,totalLiab_eod,sellingGeneralAdministrative_eod,researchDevelopment_eod,ebitda_eod,currentDeferredRevenue_eod,costOfRevenue_eod,grossProfit_eod,netDebt_eod,investments_eod,propertyPlantEquipment_eod,totalRevenue_eod,intangibleAssets_eod,cashAndEquivalents_eod,inventory_eod,accumulatedOtherComprehensiveIncome_eod,accountsPayable_eod,cashAndShortTermInvestments_eod,commonStock_eod,netReceivables_eod,capitalExpenditures_eod,totalStockholderEquity_eod,changeToOperatingActivities_eod
0,2022-09,AAPL,352755000000.00,302083000000.00,25094000000.00,26251000000.00,133138000000.00,7912000000.00,223546000000.00,170782000000.00,96423000000.00,-9560000000.00,42117000000.00,394328000000.00,,5100000000.00,4946000000.00,-11109000000.00,64115000000.00,48304000000.00,64849000000.00,60932000000.00,10708000000,50672000000.00,-8387000000.00
1,2021-09,AAPL,351002000000.00,287912000000.00,21973000000.00,21914000000.00,123136000000.00,7612000000.00,212981000000.00,152836000000.00,89779000000.00,-3075000000.00,49527000000.00,365817000000.00,,17635000000.00,6580000000.00,163000000.00,54763000000.00,62639000000.00,57365000000.00,51506000000.00,11085000000,63090000000.00,-6146000000.00
2,2020-09,AAPL,323888000000.00,258549000000.00,19916000000.00,18752000000.00,81020000000.00,6643000000.00,169559000000.00,104956000000.00,74420000000.00,5335000000.00,45336000000.00,274515000000.00,,20243000000.00,4061000000.00,-406000000.00,42296000000.00,90943000000.00,50779000000.00,37445000000.00,7309000000,65339000000.00,881000000.00
3,2019-09,AAPL,338516000000.00,248028000000.00,18245000000.00,16217000000.00,81860000000.00,5522000000.00,161782000000.00,98392000000.00,59203000000.00,58093000000.00,37378000000.00,260174000000.00,,36640000000.00,4106000000.00,-584000000.00,46236000000.00,100557000000.00,45174000000.00,45804000000.00,10495000000,90488000000.00,-896000000.00
4,2018-09,AAPL,365725000000.00,258578000000.00,16705000000.00,14236000000.00,87046000000.00,7543000000.00,163756000000.00,101839000000.00,88570000000.00,30845000000.00,41304000000.00,265595000000.00,,14338000000.00,3956000000.00,-3454000000.00,55888000000.00,66301000000.00,40201000000.00,48995000000.00,13313000000,107147000000.00,30016000000.00
5,2017-09,AAPL,375319000000.00,241272000000.00,15261000000.00,11581000000.00,76569000000.00,7548000000.00,141048000000.00,88186000000.00,95391000000.00,-33542000000.00,33783000000.00,229234000000.00,2298000000.00,12307000000.00,4855000000.00,-150000000.00,49049000000.00,74181000000.00,35867000000.00,35673000000.00,12795000000,134047000000.00,-8480000000.00
6,2016-09,AAPL,321686000000.00,193437000000.00,14194000000.00,10045000000.00,73333000000.00,8080000000.00,131376000000.00,84263000000.00,66548000000.00,-32022000000.00,27010000000.00,215639000000.00,3206000000.00,11883000000.00,2132000000.00,634000000.00,37294000000.00,67155000000.00,31251000000.00,29299000000.00,13548000000,128249000000.00,-902000000.00
7,2015-09,AAPL,290479000000.00,171124000000.00,14329000000.00,8067000000.00,84505000000.00,8940000000.00,140089000000.00,93626000000.00,43342000000.00,-44417000000.00,22471000000.00,233715000000.00,3893000000.00,,2349000000.00,-345000000.00,35490000000.00,41601000000.00,27416000000.00,30343000000.00,11488000000,119355000000.00,5040000000.00
8,2014-09,AAPL,231839000000.00,120292000000.00,11993000000.00,6041000000.00,61813000000.00,8491000000.00,112258000000.00,70537000000.00,21451000000.00,-9017000000.00,20624000000.00,182795000000.00,4142000000.00,,2111000000.00,1082000000.00,30196000000.00,25077000000.00,23313000000.00,27219000000.00,9813000000,111547000000.00,3957000000.00
9,2013-09,AAPL,207000000000.00,83451000000.00,10830000000.00,4475000000.00,57048000000.00,7435000000.00,106606000000.00,64304000000.00,2701000000.00,-24042000000.00,16597000000.00,170910000000.00,4179000000.00,,1764000000.00,-471000000.00,22367000000.00,40546000000.00,19764000000.00,20641000000.00,9076000000,123549000000.00,
