,date,ticker,totalAssets_financial,totalLiabilities_financial,sellingGeneralAndAdministrativeExpenses_financial,researchAndDevelopmentExpenses_financial,ebitda_financial,deferredRevenue_financial,costOfRevenue_financial,grossProfit_financial,netDebt_financial,totalInvestments_financial,propertyPlantEquipmentNet_financial,revenue_financial,intangibleAssets_financial,cashAndCashEquivalents_financial,accumulatedOtherComprehensiveIncomeLoss_financial,accountsPayables_financial,cashAndShortTermInvestments_financial,commonStock_financial,netReceivables_financial,capitalExpenditure_financial,totalStockholdersEquity_financial,changeInWorkingCapital_financial,inventory_financial
0,2022-09,AAPL,352755000000,302083000000,25094000000,26251000000.0,133138000000,7912000000.0,223546000000,170782000000,96423000000.0,145463000000.0,42117000000,394328000000,0.0,23646000000,-11109000000.0,9448000000.0,48304000000,64849000000.0,60932000000,-10708000000,50672000000,1200000000,4946000000
1,2021-09,AAPL,351002000000,287912000000,21973000000,21914000000.0,123136000000,7612000000.0,212981000000,152836000000,89779000000.0,155576000000.0,39440000000,365817000000,0.0,34940000000,163000000.0,12326000000.0,62639000000,57365000000.0,51506000000,-11085000000,63090000000,-4911000000,6580000000
2,2020-09,AAPL,323888000000,258549000000,19916000000,18752000000.0,81020000000,6643000000.0,169559000000,104956000000,74420000000.0,153814000000.0,36766000000,274515000000,0.0,38016000000,-406000000.0,-4062000000.0,90943000000,50779000000.0,37445000000,-7309000000,65339000000,5690000000,4061000000
3,2019-09,AAPL,338516000000,248028000000,18245000000,16217000000.0,81860000000,5522000000.0,161782000000,98392000000,59203000000.0,157054000000.0,37378000000,260174000000,0.0,48844000000,-584000000.0,-1923000000.0,100557000000,45174000000.0,45804000000,-10495000000,90488000000,-3488000000,4106000000
4,2018-09,AAPL,365725000000,258578000000,16705000000,14236000000.0,87046000000,7543000000.0,163756000000,101839000000,88570000000.0,211187000000.0,41304000000,265595000000,0.0,25913000000,-3454000000.0,9175000000.0,66301000000,40201000000.0,48995000000,-13313000000,107147000000,34694000000,3956000000
5,2017-09,AAPL,375319000000,241272000000,15261000000,11581000000.0,76569000000,7548000000.0,141048000000,88186000000,95391000000.0,248606000000.0,33783000000,229234000000,2298000000.0,20289000000,-150000000.0,9618000000.0,74181000000,35867000000.0,35673000000,-12795000000,134047000000,-5550000000,4855000000
6,2016-09,AAPL,321686000000,193437000000,14194000000,10045000000.0,73333000000,8080000000.0,131376000000,84263000000,66548000000.0,217101000000.0,27010000000,215639000000,3206000000.0,20484000000,634000000.0,1791000000.0,67155000000,31251000000.0,29299000000,-13548000000,128249000000,484000000,2132000000
7,2015-09,AAPL,290479000000,171124000000,14329000000,8067000000.0,84505000000,8940000000.0,140089000000,93626000000,43342000000.0,184546000000.0,22471000000,233715000000,3893000000.0,21120000000,-345000000.0,5400000000.0,41601000000,27416000000.0,30343000000,-11488000000,119355000000,11647000000,2349000000
8,2014-09,AAPL,231839000000,120292000000,11993000000,6041000000.0,61813000000,8491000000.0,112258000000,70537000000,21451000000.0,141395000000.0,20624000000,182795000000,4142000000.0,13844000000,1082000000.0,5938000000.0,25077000000,23313000000.0,27219000000,-9813000000,111547000000,7047000000,2111000000
9,2013-09,AAPL,207000000000,83451000000,10830000000,4475000000.0,57048000000,7435000000.0,106606000000,64304000000,2701000000.0,132502000000.0,16597000000,170910000000,4179000000.0,14259000000,-471000000.0,2340000000.0,40546000000,19764000000.0,20641000000,-9076000000,123549000000,6478000000,1764000000
10,2012-09,AAPL,176064000000,57854000000,10040000000,3381000000.0,59040000000,5953000000.0,87846000000,68662000000,-10746000000.0,110505000000.0,15452000000,156508000000,4224000000.0,10746000000,499000000.0,4467000000.0,29129000000,16422000000.0,18692000000,-9402000000,118210000000,-299000000,791000000
11,2011-09,AAPL,116371000000,39756000000,7599000000,2429000000.0,36019000000,4091000000.0,64431000000,43818000000,-9815000000.0,71755000000.0,7777000000,108249000000,3536000000.0,9815000000,443000000.0,2515000000.0,25952000000,13331000000.0,11717000000,-7452000000,76615000000,5757000000,776000000
