,date,ticker,totalAssets_finnhub,totalLiabilities_finnhub,sgaExpense_finnhub,researchDevelopment_finnhub,ebit_finnhub,deferredTaxesInvestmentTaxCredit_finnhub,costOfGoodsSold_finnhub,grossIncome_finnhub,netDebt_finnhub,longTermInvestments_finnhub,propertyPlantEquipment_finnhub,revenue_finnhub,otherCurrentAssets_finnhub,cashEquivalents_finnhub,inventory_finnhub,otherInvestingCashFlowItemsTotal_finnhub,accountsPayable_finnhub,cashShortTermInvestments_finnhub,commonStock_finnhub,accountsReceivables_finnhub,capex_finnhub,liabilitiesShareholdersEquity_finnhub,changesinWorkingCapital_finnhub
0,2022-09,AAPL,352755,302083,25094,26251,119437,895,223546,170782,72706,120805.0,52534,394328,21223,5100,4946,-11646,64115,48304,64849,28184,-10708,352755,1200
1,2021-09,AAPL,351002,287912,21973,21914,108949,-4774,212981,152836,62928,127877.0,49527,365817,14111,17635,6580,-3460,54763,62639,57365,26278,-11085,351002,-4911
2,2020-09,AAPL,323888,258549,19916,18752,66288,-215,169559,104956,22154,100887.0,45336,274515,11264,20243,4061,3020,42296,90943,50779,16120,-7309,323888,5690
3,2019-09,AAPL,338516,248028,18245,16217,63930,-340,161782,98392,7490,105341.0,37378,260174,12352,36640,4106,56391,46236,100557,45174,22926,-10495,338516,-3488
4,2018-09,AAPL,365725,258578,16705,14236,70898,-32590,163756,101839,48182,170799.0,41304,265595,12087,14338,3956,29379,55888,66301,40201,23186,-13313,365725,34694
5,2017-09,AAPL,375319,241272,15261,11581,61344,5966,141048,88186,41499,194714.0,33783,229234,13936,12307,4855,-33995,44242,74181,35867,17874,-12451,375319,-4923
6,2016-09,AAPL,321686,193437,14194,10045,60024,4938,131376,84263,19877,170430.0,27010,215639,8283,11883,2132,-33243,37294,67155,31251,15754,-12734,321686,405
7,2015-09,AAPL,290345,170990,14329,8067,71230,1382,140089,93626,22727,164065.0,22471,233715,15085,9731,2349,-44786,35490,41601,27416,16849,-11488,290345,11647
8,2014-09,AAPL,231839,120292,11993,6041,52503,2347,112258,70537,10218,130162.0,20624,182795,14124,3612,2111,-12766,30196,25077,23313,17460,-9813,231839,7047
9,2013-09,AAPL,207000,83451,10830,4475,48999,1141,106606,64304,-23586,106215.0,16597,170910,10335,5554,1764,-24698,22367,40546,19764,13102,-9076,207000,6478
10,2012-09,AAPL,176064,57854,10040,3381,55241,4405,87846,68662,-29129,92122.0,15452,156508,9041,7637,791,-38825,21175,29129,16422,10930,-9402,176064,-299
11,2011-09,AAPL,116371,39756,7599,2429,33790,2868,64431,43818,-25952,55618.0,7777,108249,6543,6912,776,-32967,14632,25952,13331,5369,-7452,116371,5757
12,2010-09,AAPL,75183,27392,5517,1782,18385,1440,39541,25684,-25620,25391.0,4768,65225,5083,9571,1051,-11733,12015,25620,10668,5510,-2121,75183,1212
13,2009-09,AAPL,47501,15861,4149,1333,11740,1040,25683,17222,-23464,10528.0,2954,42905,2579,4124,455,-16221,5601,23464,8210,3361,-1213,47501,-586
14,2008-09,AAPL,36171,13874,3761,1109,8327,398,24294,13197,-22111,2379.0,2455,37491,2682,11507,509,-6990,5520,22111,7177,2422,-1199,36171,2045
