None,date,ticker,reportperiod,datekey,assets_sharadar,liabilities_sharadar,sgna_sharadar,rnd_sharadar,ebitda_sharadar,deferredrev_sharadar,cor_sharadar,gp_sharadar,debtc_sharadar,investments_sharadar,ppnenet_sharadar,revenue_sharadar,intangibles_sharadar,cashneq_sharadar,inventory_sharadar,accoci_sharadar,payables_sharadar,cashneq_sharadar,dps_sharadar,receivables_sharadar,capex_sharadar,equity_sharadar,opinc_sharadar
0,2022-09,AAPL,2022-09-24,2022-09-24,352755000000.0,302083000000.0,25094000000.0,26251000000.0,133138000000.0,7912000000.0,223546000000.0,170782000000.0,21110000000.0,145463000000.0,42117000000.0,394328000000.0,0.0,23646000000.0,4946000000.0,-11109000000.0,64115000000.0,23646000000.0,0.9,60932000000.0,-10708000000.0,50672000000.0,119437000000.0
1,2021-09,AAPL,2021-09-25,2021-09-25,351002000000.0,287912000000.0,21973000000.0,21914000000.0,123136000000.0,7612000000.0,212981000000.0,152836000000.0,15613000000.0,155576000000.0,39440000000.0,365817000000.0,0.0,34940000000.0,6580000000.0,163000000.0,54763000000.0,34940000000.0,0.85,51506000000.0,-11085000000.0,63090000000.0,108949000000.0
2,2020-09,AAPL,2020-09-26,2020-09-26,323888000000.0,258549000000.0,19916000000.0,18752000000.0,81020000000.0,6643000000.0,169559000000.0,104956000000.0,13769000000.0,153814000000.0,36766000000.0,274515000000.0,0.0,38016000000.0,4061000000.0,-406000000.0,42296000000.0,38016000000.0,0.795,37445000000.0,-7309000000.0,65339000000.0,66288000000.0
3,2019-09,AAPL,2019-09-28,2019-09-28,338516000000.0,248028000000.0,18245000000.0,16217000000.0,81860000000.0,5522000000.0,161782000000.0,98392000000.0,16240000000.0,157054000000.0,37378000000.0,260174000000.0,0.0,48844000000.0,4106000000.0,-584000000.0,46236000000.0,48844000000.0,0.75,45804000000.0,-10495000000.0,90488000000.0,63930000000.0
4,2018-09,AAPL,2018-09-29,2018-09-29,365725000000.0,258578000000.0,16705000000.0,14236000000.0,87046000000.0,5966000000.0,163756000000.0,101839000000.0,20748000000.0,211187000000.0,41304000000.0,265595000000.0,0.0,25913000000.0,3956000000.0,-3454000000.0,55888000000.0,25913000000.0,0.68,48995000000.0,-13313000000.0,107147000000.0,70898000000.0
5,2017-09,AAPL,2017-09-30,2017-09-30,375319000000.0,241272000000.0,15261000000.0,11581000000.0,76569000000.0,10384000000.0,141048000000.0,88186000000.0,18473000000.0,248606000000.0,33783000000.0,229234000000.0,0.0,20289000000.0,4855000000.0,-150000000.0,44242000000.0,20289000000.0,0.6,35673000000.0,-12451000000.0,134047000000.0,61344000000.0
6,2016-09,AAPL,2016-09-24,2016-09-24,321686000000.0,193437000000.0,14194000000.0,10045000000.0,73333000000.0,11010000000.0,131376000000.0,84263000000.0,11605000000.0,217101000000.0,27010000000.0,215639000000.0,8620000000.0,20484000000.0,2132000000.0,634000000.0,37294000000.0,20484000000.0,0.545,29299000000.0,-12734000000.0,128249000000.0,60024000000.0
7,2015-09,AAPL,2015-09-26,2015-09-26,290345000000.0,170990000000.0,14329000000.0,8067000000.0,84505000000.0,12564000000.0,140089000000.0,93626000000.0,10999000000.0,184546000000.0,22471000000.0,233715000000.0,9009000000.0,21120000000.0,2349000000.0,-345000000.0,35490000000.0,21120000000.0,0.495,30343000000.0,-11488000000.0,119355000000.0,71230000000.0
8,2014-09,AAPL,2014-09-27,2014-09-27,231839000000.0,120292000000.0,11993000000.0,6041000000.0,61813000000.0,11522000000.0,112258000000.0,70537000000.0,6308000000.0,141395000000.0,20624000000.0,182795000000.0,8758000000.0,13844000000.0,2111000000.0,1082000000.0,30196000000.0,13844000000.0,0.453,27219000000.0,-9813000000.0,111547000000.0,52503000000.0
9,2013-09,AAPL,2013-09-28,2013-09-28,207000000000.0,83451000000.0,10830000000.0,4475000000.0,57048000000.0,10060000000.0,106606000000.0,64304000000.0,0.0,132502000000.0,16597000000.0,170910000000.0,5756000000.0,14259000000.0,1764000000.0,-471000000.0,22367000000.0,14259000000.0,0.407,20641000000.0,-9076000000.0,123549000000.0,48999000000.0
10,2012-09,AAPL,2012-09-29,2012-09-29,176064000000.0,57854000000.0,10040000000.0,3381000000.0,59040000000.0,8601000000.0,87846000000.0,68662000000.0,0.0,110505000000.0,15452000000.0,156508000000.0,5359000000.0,10746000000.0,791000000.0,499000000.0,21175000000.0,10746000000.0,0.095,18692000000.0,-9402000000.0,118210000000.0,55241000000.0
11,2011-09,AAPL,2011-09-24,2011-09-24,116371000000.0,39756000000.0,7599000000.0,2429000000.0,36019000000.0,5777000000.0,64431000000.0,43818000000.0,0.0,71755000000.0,7777000000.0,108249000000.0,4432000000.0,9815000000.0,776000000.0,443000000.0,14632000000.0,9815000000.0,0.0,11717000000.0,-7452000000.0,76615000000.0,33790000000.0
12,2010-09,AAPL,2010-09-25,2010-09-25,75183000000.0,27392000000.0,5517000000.0,1782000000.0,19567000000.0,4123000000.0,39541000000.0,25684000000.0,0.0,39750000000.0,4768000000.0,65225000000.0,1083000000.0,11261000000.0,1051000000.0,-46000000.0,12015000000.0,11261000000.0,0.0,9924000000.0,-2121000000.0,47791000000.0,18385000000.0
13,2009-09,AAPL,2009-09-26,2009-09-26,47501000000.0,15861000000.0,4149000000.0,1333000000.0,12800000000.0,2906000000.0,25683000000.0,17222000000.0,0.0,28729000000.0,2954000000.0,42905000000.0,453000000.0,5263000000.0,455000000.0,77000000.0,5601000000.0,5263000000.0,0.0,5057000000.0,-1213000000.0,31640000000.0,11740000000.0
14,2008-09,AAPL,2008-09-27,2008-09-27,36171000000.0,13874000000.0,3761000000.0,1109000000.0,9443000000.0,2385000000.0,24294000000.0,13197000000.0,0.0,12615000000.0,2455000000.0,37491000000.0,492000000.0,11875000000.0,509000000.0,-9000000.0,5520000000.0,11875000000.0,0.0,2422000000.0,-1199000000.0,22297000000.0,8327000000.0
15,2007-09,AAPL,2007-09-29,2007-09-29,25347000000.0,10815000000.0,2963000000.0,782000000.0,5333000000.0,0.0,16426000000.0,8152000000.0,0.0,6034000000.0,1832000000.0,24578000000.0,337000000.0,9352000000.0,346000000.0,63000000.0,4970000000.0,9352000000.0,0.0,1637000000.0,-735000000.0,14532000000.0,4407000000.0
16,2006-09,AAPL,2006-09-30,2006-09-30,17205000000.0,7221000000.0,2433000000.0,712000000.0,3043000000.0,0.0,13717000000.0,5598000000.0,0.0,3718000000.0,1281000000.0,19315000000.0,177000000.0,6392000000.0,270000000.0,22000000.0,3390000000.0,6392000000.0,0.0,1252000000.0,-657000000.0,9984000000.0,2453000000.0
17,2005-09,AAPL,2005-09-24,2005-09-24,11516000000.0,4088000000.0,1864000000.0,535000000.0,1987000000.0,0.0,9889000000.0,4042000000.0,0.0,4770000000.0,817000000.0,13931000000.0,96000000.0,3491000000.0,165000000.0,0.0,1779000000.0,3491000000.0,0.0,895000000.0,-260000000.0,7428000000.0,1643000000.0
18,2004-09,AAPL,2004-09-25,2004-09-25,8050000000.0,2974000000.0,1430000000.0,491000000.0,520000000.0,0.0,6022000000.0,2257000000.0,0.0,2495000000.0,707000000.0,8279000000.0,97000000.0,2969000000.0,101000000.0,-15000000.0,1451000000.0,2969000000.0,0.0,774000000.0,-176000000.0,5076000000.0,313000000.0
19,2003-09,AAPL,2003-09-27,2003-09-27,6815000000.0,2592000000.0,1212000000.0,471000000.0,206000000.0,0.0,4499000000.0,1708000000.0,304000000.0,1170000000.0,669000000.0,6207000000.0,109000000.0,3396000000.0,56000000.0,-35000000.0,1154000000.0,3396000000.0,0.0,766000000.0,-164000000.0,4223000000.0,-1000000.0
20,2002-09,AAPL,2002-09-28,2002-09-28,6298000000.0,2203000000.0,1109000000.0,446000000.0,201000000.0,0.0,4139000000.0,1603000000.0,0.0,2085000000.0,621000000.0,5742000000.0,119000000.0,2252000000.0,45000000.0,-49000000.0,911000000.0,2252000000.0,0.0,565000000.0,-174000000.0,4095000000.0,17000000.0
21,2001-09,AAPL,2001-09-29,2001-09-29,6021000000.0,2101000000.0,1138000000.0,430000000.0,60000000.0,0.0,4128000000.0,1235000000.0,0.0,2154000000.0,564000000.0,5363000000.0,76000000.0,2310000000.0,11000000.0,-22000000.0,801000000.0,2310000000.0,0.0,466000000.0,-232000000.0,3920000000.0,-344000000.0
22,2000-09,AAPL,2000-09-30,2000-09-30,6803000000.0,2696000000.0,1166000000.0,380000000.0,1176000000.0,0.0,5817000000.0,2166000000.0,0.0,3622000000.0,419000000.0,7983000000.0,0.0,1191000000.0,33000000.0,244000000.0,1157000000.0,1191000000.0,0.0,953000000.0,-142000000.0,4107000000.0,522000000.0
23,1999-09,AAPL,1999-09-25,1999-09-25,5161000000.0,2057000000.0,996000000.0,314000000.0,761000000.0,0.0,4438000000.0,1696000000.0,0.0,2239000000.0,318000000.0,6134000000.0,0.0,1326000000.0,20000000.0,106000000.0,812000000.0,1326000000.0,0.0,681000000.0,-48000000.0,3104000000.0,359000000.0
24,1998-09,AAPL,1998-09-25,1998-09-25,4289000000.0,2647000000.0,908000000.0,303000000.0,440000000.0,0.0,4462000000.0,1479000000.0,0.0,819000000.0,348000000.0,5941000000.0,0.0,1481000000.0,78000000.0,-39000000.0,719000000.0,1481000000.0,0.0,955000000.0,43000000.0,1642000000.0,261000000.0
